type,cityBuilding,area,years ,num_Buildings,occupancy,site_EUI,wn_Site_n_Gas_Use,wn_Site_Electricity,water_Use,target
Hospital (General Medical & Surgical),0,3813938,50,5,100,247.4,9479229.3,95603180,285.3,56345.5
Hospital (General Medical & Surgical),0,308789,28,1,100,270.3,500210.8,9685688.9,24665.5,5489.9
Office,0,1272119,52,1,90,105.1,6087.4,19883052.5,17994.7,10112.6
Office,0,885474,51,1,60,69.6,0,10320537.5,4235.5,4734.3
Office,0,1852980,33,1,100,50.9,353751,16214482.6,21334,6799.2
Retail Store,0,179200,25,1,100,51.5,16629.3,2216614.6,727.1,730.2
Retail Store,0,166320,22,1,100,66.8,23565.5,2506783.5,533.4,864.4
Retail Store,0,204340,15,1,100,55.1,16589.1,2777176.9,1088.4,899.9
Office,0,782359,18,1,80,52.5,81836.3,9556291.6,9052.9,8045
Other,0,275506,20,1,100,358.6,388261.8,16729295.9,16203.1,7096
Financial Office,0,1047777,37,1,95,87.9,40408,17775465.4,26628.1,7178.2
Office,0,2346193,47,1,100,81.4,18093.5,30598033.8,27739.6,14566.2
Mixed Use Property,0,2722590,15,1,100,122.9,212678.9,51573047.9,115914.4,25150.7
Office,0,2542563,49,1,100,105,416319.4,38242280.9,56259.1,19507.9
Office,0,1142417,16,1,100,100.2,4956,25450244.6,26674.1,9187.3
Office,0,1537287,48,1,85,90.1,47015.9,22389628.2,31824.6,10535.8
Office,0,1485610,33,1,100,84.3,4201.1,25935257.8,32292.6,2422.1
Office,0,2577575,33,1,90,89.8,142584.4,46052181.8,48596.2,18063.6
Office,0,2461125,49,1,100,135.4,1367365.4,20459299.5,68444.6,21584
Office,0,848010,49,1,100,106,42916.9,13309294,17936.2,6739.5
Office,0,1339563,16,1,100,139.7,23582.4,45066945.1,34419.2,15216.7
Retail Store,0,91047,15,1,100,38.1,3619,523015.9,1435.4,282.7
Office,0,1059041,33,1,100,67.5,5070.7,18298353.3,15170.5,5883.5
Office,0,948747,92,1,100,192.9,1702639.2,3914519.4,22068.3,10144.5
Office,0,777658,64,1,100,79.1,27698,10209897.5,14018.5,4684.8
Office,0,2993388,56,1,85,114.7,74082.2,43910860.5,50516.4,25434.2
Multifamily Housing,0,749338,31,1,100,49.2,1602.2,8908840.6,22643.2,3008
Office,0,1436950,34,1,100,57.9,3998,24043343.3,20972.5,7032.8
Office,0,528060,12,1,100,32.9,31393.9,4032620.3,2356.2,1369.3
Office,0,1842494,51,1,100,144.9,15440,33829081.4,29582.2,19812.2
Office,0,527815,47,1,80,107.1,0,5971065.1,7683,4130.3
Office,0,410295,54,1,80,91.5,3241.4,5783160.5,9942.2,2851.5
Office,0,370441,33,1,100,85.9,9405,7550325.8,2814.8,2573.1
Senior Care Community,0,67129,13,1,90,82.3,16305.8,1137973.6,4917.8,417.4
Office,0,1910503,104,1,85,59.6,16490,19344958.3,20332.1,8740.6
Office,0,127158,99,1,90,65.4,16839.6,1914668.3,2018.5,650.2
Hotel,0,893750,39,1,100,188.3,833609.2,10496200.7,62796.7,10724.4
Office,0,2116795,56,1,100,105.7,15301.8,33137421.5,52273.4,16907.5
Office,0,1182224,113,1,100,76.7,99365.8,14523270.6,13661.4,6797.5
Office,0,1866766,50,1,100,112.7,8605.8,37157846.4,44158.6,16276
Hotel,0,1194030,29,1,100,108.3,792200.1,14635906.6,59353,8451.6
Hotel,0,323504,29,1,100,207.6,55615,7778856.2,34912,4872
Retail Store,0,139899,21,1,100,94.1,52750.9,2285134.6,1826,947.5
Retail Store,0,148939,17,1,100,86,50150.4,2253356.8,1834,924.5
Retail Store,0,194644,15,1,100,61.5,17824,2943906.1,1676,956.6
Retail Store,0,157011,15,1,100,82.2,27796.2,2929218.1,1048,1003.2
Retail Store,0,52862,84,1,100,29.4,8867.9,187761.1,55.4,103.2
K-12 School,1,171725,89,1,100,55.1,63448.3,642105.5,8270.6,590.6
K-12 School,1,124900,89,1,100,87.9,85066.3,471039.9,12595,651.6
K-12 School,1,175325,68,1,100,49,21,550399.9,11.3,664.9
K-12 School,1,111600,62,1,100,49,40931.6,398720,593.2,333.4
K-12 School,1,188575,53,1,100,47.4,3291,882986,8083,694.4
K-12 School,1,114175,61,1,100,46.6,548,504999.9,774.9,415.8
K-12 School,1,181200,61,1,100,44.8,643.3,738994.9,3128.1,560.2
K-12 School,1,141600,46,1,100,46.6,35411.4,877599.9,15652.5,445.2
K-12 School,1,183170,54,1,100,54.9,4233.2,703168.7,11477,769.9
K-12 School,1,65287,115,2,100,56.8,2679.1,412799.9,257.7,285.7
K-12 School,1,134387,97,1,100,210.1,201328.9,877842.9,9591.3,1685.3
K-12 School,1,318200,88,1,100,68.2,166073.7,1474399.9,52645.3,1312.3
K-12 School,1,55260,114,1,100,69.3,1370.2,575490.8,14098,289
K-12 School,1,81680,89,1,100,58.3,36335.5,327120,741.4,288.3
K-12 School,1,43260,94,1,100,88.2,20210.1,351098.5,4825.8,252.9
K-12 School,1,108000,53,1,100,54,42331.4,477600,0,361
K-12 School,1,116460,113,1,100,58.2,395,542469.8,12115.4,521.5
K-12 School,1,164500,92,1,100,69.6,2653,686799.9,0,868.5
K-12 School,1,58260,89,1,100,71.8,28451.2,341468.8,4616.6,262.4
K-12 School,1,304800,95,1,100,58.6,126663,1521199.8,20882.9,1112.3
K-12 School,1,59460,44,1,100,83,13,460402.4,422.5,386.4
K-12 School,1,109200,89,1,100,58,533,400639.9,1516.2,488.9
K-12 School,1,72000,105,1,100,86.5,40972.8,446559.9,1461.6,394.4
K-12 School,1,138125,80,1,100,88.6,92124,607833.9,1986.5,734.7
K-12 School,1,116400,115,1,100,61.3,1129,569199.9,1656.4,553
K-12 School,1,114000,112,1,100,60.2,35832,661599.9,9538,457.3
K-12 School,1,184800,112,1,100,97.7,109884.4,1539199.8,1463,1161.2
K-12 School,1,100900,56,1,100,62.4,146,364079.9,7969.5,485.3
K-12 School,1,90665,103,1,100,61.1,33187.3,482620.6,933.4,357.6
K-12 School,1,128777,88,1,100,63.7,56862.7,482399.9,4234.9,505.1
K-12 School,1,133480,88,1,100,45.3,40285.8,274083.5,4221.5,372.5
K-12 School,1,109200,88,2,100,63.1,42322.3,496199.9,268.6,439.4
